R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R0C6,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R5C0,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,best_move
O, ,O, , ,X,X, , ,X, , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3
 , , ,X, , ,X, , , ,O, , ,O, , , ,O, , ,X, , , , , , , , , , , , , , , , , , , , , ,4
 , , ,O,X, , , , , ,O, , , , , , ,X, , , , , , ,O, , , , , , ,X, , , , , , , , , , ,0
 , ,O, ,O,X, , , , , ,X, , , , , , ,O, , , , , , ,X, , , , , , , , , , , , , , , , ,1
O,X,X,O, ,O, , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
 , , ,O,O, ,X, , , , ,X, ,X, , , , , , ,O, , , , , , , , , , , , , , , , , , , , , ,2
X,X,O, ,O,O, , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3
X,O, , ,X, , , ,O, , ,O, , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , ,5
 , ,O,X, , ,O, , , ,O, , ,X, , , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,6
 , , ,O,O,X, , , , ,O,X, , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , ,4
X, , , , , ,X,O, , , , , , ,O, , , , , , ,X, , , , , , ,O, , , , , , , , , , , , , ,3
 , , ,O, ,O, , , , ,X, , , , , , ,X, , , , , , ,X, , , , , , ,O, , , , , , , , , , ,4
 ,X, , ,O, ,O, ,X, , ,X, , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , , ,1
X, , , ,X, ,O,O, , , ,X, , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , , ,2
X,O, , , ,O,O,X,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
X, , ,O,X,O,X, , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3
X,O, , , ,X,O,O, , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
O,X,X, , ,O, ,O,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3
 ,O,X,X,O,O, , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3
O, , , ,X,O, ,X, , , , ,X, , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , ,1
X,O, , , ,O, ,X,X, , , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
X,O, , , , , , ,O, , , , , , ,O, , , , , , ,X, , , , , , ,X, , , , , , , , , , , , ,4
O, , , ,X,X, , , , , , ,O, , , , , , ,X, , , , , , ,O, , , , , , , , , , , , , , , ,3
X,O,X, ,X, , , ,O,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3
